CODIGO_EMPRESA,FRACASO,B11,B12,B13,B14,B21,B22,B23,B24,B31,B32,B41,B42,B43,B44,B45,B46,B47,B48,B51,B52,B53,B54,B61,B62,B63,B64,B65,B66,B67,B68,B69,B610,B611,B612,B613,B81,B82,B83,B84,B85
321000370,0,-0.013263338,-0.014149121,-0.019776071,-0.049727472,0.051357677,0.054787561,0.076575974,0.192552384,0.097446212,0.187087068,0.12172614,0.37907799,0.611137257,0.513691045,0.715466721,2.514527378,0.284533279,0.717980348,1.249162362,3.890125471,6.271534273,0.427809852,0.114105677,0.22003385,0.217531581,2.814155094,1.745572285,0.48153227,1.491032673,1.066784257,0.2974892,1.493571828,1.255420881,0.399750849,0.01618843,0.06074515,0.177369817,0.017284017,0.01620198,0.315473373
321000978,0,-0.006325686,-0.015650689,-0.035168283,-0.0282006,0.014864952,0.036778105,0.082643184,0.066269583,0.554977159,0,0.064919356,0.304218816,0.854556978,0.299579818,0.445022841,0.801875956,0.554977159,0.673178522,0.116976627,0.54816457,1.539805671,0.116976627,0.026239066,0.096604136,0.222435347,8.13279368,2.895241546,0.121083991,5.559599731,2.474148865,0.130266953,1.714751038,0.601135814,0.102968592,-0.098456757,5.17564E-05,5.17564E-05,2.87236E-05,1.16095E-05,0.000780998
321002540,0,0.016539094,0.017103904,0.041652707,0.029020717,0.034650885,0.035834212,0.087266157,0.060801006,0.589368738,0,0.036412083,0.423890459,0.965260913,0.375892175,0.410631262,0.696730648,0.589368738,0.915400773,0.061781497,0.719227933,1.637787774,0.061781497,0.035209673,0.371157328,0.523493165,2.439663301,1.071368354,0.363479357,2.518439512,1.034149996,0.071542313,1.896540726,0.738551421,0.374805845,-0.117345881,0.025741101,0.025741101,0.015171,0.014670019,0.42336636
321002656,0,-0.056263845,-0.159556133,-0.38381048,-0.273079728,0.011525258,0.032683967,0.078620915,0.055938488,0.500754214,0.08352985,0.312465482,0.797655596,0.830520153,0.329765939,0.415715936,0.711496278,0.584284064,0.793248251,0.62398972,1.592908404,1.658538521,0.534783509,0.110183853,0.109264907,0.01158894,3.555237975,3.414553461,0.116284466,6.821618362,2.835855464,0.440071084,1.169690495,0.464436755,0.275579267,0.025201868,0.006528691,0.007617729,0.00381461,0.001345136,0.116711966
321003051,1,-0.019536705,-0.036464314,-0.107610199,-0.055153325,-0.471425971,-0.87989377,-2.59666324,-1.330864655,0.661144442,0,0.006681289,0.892480055,0.892480055,0.231335613,0.338855558,0.512528785,0.661144442,0.682696823,0.010105643,1.349901773,1.349901773,0.010105643,0.003579675,0.474589726,0,2.091309062,2.091309062,0.123944071,5.508103923,1.866451627,0.015802055,2.110822907,0.547136609,0.025350363,-0.201181857,0.146240714,0.146240714,0.096686235,0.051802165,-0.109883987
321003146,0,0.008977961,0.012726709,0.02352328,0.027728612,0.12797825,0.181415566,0.335317576,0.395263377,0.458973882,0,0.152054278,0.592745487,0.984525763,0.525551882,0.541026118,1.178773216,0.458973882,0.971398355,0.331291788,1.291457991,2.145058363,0.331291788,0.107265549,0.272939509,0.276378456,2.391498575,1.439830262,0.370746631,2.620113779,1.417549987,0.274596247,1.777964311,0.949099073,0.563800383,0.17317032,0,0,0,0,0
321003314,0,-0.007184614,-0.027144163,-0.058068153,-0.050970506,0.024580166,0.092866233,0.198664095,0.174381464,0.532546468,0,0.024638383,0.491776451,0.960922013,0.428375544,0.467453532,0.877770411,0.532546468,0.916402413,0.046265226,0.923443269,1.804390922,0.046265226,0.006521375,0.123643772,0.124175122,7.682548071,3.931740744,0.113383969,8.082292613,3.778096228,0.021695087,0.846130496,0.377201903,0.347220287,0.046628037,0.006744909,0.006744909,0.003591977,0.000950737,0.038679045
321003519,0,-0.003431152,-0.001459781,-0.004177009,-0.002244022,0.037746525,0.016059234,0.04595179,0.024686765,0.312524598,0.337995361,0.030950743,0.169573472,0.232461849,-0.080062749,0.349480041,0.53723185,0.650519959,-0.229091049,0.099034582,0.5425924,0.743819367,0.047578468,0.072748366,0.325826651,0.147816375,2.508937987,1.830189887,-0.188183985,1.217378032,0.425449325,0.176409114,1.324956515,-0.456331489,0.477843935,0.065459539,0.014442501,0.030062067,0.009395135,0.022082854,0.585030114
321003703,0,0.008607643,0.01362772,0.036280019,0.021826215,0.002647272,0.004191192,0.011157884,0.006712631,0.210627035,0.413746916,0.093250694,0.555864223,0.886739901,0.676112866,0.375626049,0.601604294,0.624373951,1.799962668,0.442728989,2.63909248,4.210000402,0.149350712,0.058899706,0.290646356,0.208990188,2.848198305,1.785429456,0.427051502,4.214860872,1.583211539,0.232304889,2.209034648,1.68432338,0.314593975,0.061049135,0.078497316,0.232694151,0.049011679,0.030957126,11.69397173
321004185,0,0.012888865,0.025835956,0.04893822,0.054729081,0.056264664,0.112783506,0.213633437,0.238912689,0.256082801,0.215987171,0.198226555,0.744764189,0.891667342,0.635584541,0.527930028,1.118330036,0.472069972,1.203918146,0.774072116,2.908294455,3.481949352,0.419909266,0.098889909,0.184339993,0.07328604,2.691479477,2.248055341,0.31707607,3.796937894,2.00451753,0.596861007,2.684814183,1.913747774,0.246837317,0.081154005,0.045414786,0.083718846,0.021438957,0.01069532,0.190089467
321004262,0,-0.197409027,-0.402636663,-1.394142829,-0.56614173,-0.023669841,-0.048277154,-0.167161251,-0.067881825,0.245425062,0.465769046,0.186748779,0.710419033,0.732289752,0.48686469,0.288805892,0.406085889,0.711194108,1.685785172,0.76091976,2.894647457,2.983761091,0.262584823,0.091561197,0.255095152,0.010723011,2.870990283,2.785244685,0.238705248,7.06220406,2.03960614,0.25921195,1.016436388,0.675780298,0.329259584,-0.023969489,0.000276571,0.00080145,0.000196696,9.64382E-05,-0.004074308
321004594,0,0.002846949,0.004261624,0.006900854,0.011142963,0.058600658,0.087719859,0.142044899,0.229363081,0.382449777,0,0.071572752,0.341701788,0.964164733,0.581714956,0.617550223,1.614722405,0.382449777,0.941971898,0.187142877,0.893455321,2.521023129,0.187142877,0.047813692,0.180457874,0.415832157,4.380747091,1.552544978,0.388610739,2.423947166,1.496909114,0.155338849,2.092587425,1.262532595,0.407899389,0.10009685,0.032807746,0.032807746,0.012547315,0.008382149,0.143038479
321004642,0,0.000155652,0.000556029,0.001328399,0.000956315,0.017330647,0.061909452,0.147906744,0.106478069,0.571843245,0.0095859,0.038413852,0.732500585,0.912673133,0.340829889,0.418570855,0.719900024,0.581429145,0.814270474,0.067175493,1.280946469,1.596019787,0.066067984,0.010753397,0.179051902,0.050436674,4.876791728,3.914054948,0.09541035,8.534404028,3.572252793,0.058950836,1.400610497,0.523045877,0.207537001,0.025124035,0.038139479,0.038778818,0.022175405,0.006207681,0.358190938
321004940,0,-0.0244111,-0.025933993,-0.043016195,-0.065306668,0.038145061,0.04052475,0.067217592,0.102048938,0.361998733,0.035112214,0.02830056,0.263171285,0.618735039,0.256736306,0.602889053,1.518187948,0.397110947,0.425843369,0.078178615,0.726995044,1.709218796,0.071266128,0.026638698,0.221078675,0.334684382,4.036858581,1.717027794,0.241660267,1.762157155,1.062385259,0.068508209,1.497794738,0.621491048,0.451458731,0.062619232,0.070447333,0.0772804,0.027975407,0.026332638,0.690328913
321004976,0,-0.018536158,-0.067218406,-0.231515383,-0.094719303,0.017635921,0.063953842,0.220271484,0.090119115,0.447565873,0.262093134,0.012638275,0.370379913,0.382307043,-0.06525883,0.290340994,0.40912747,0.709659006,-0.224766158,0.028237799,0.827542794,0.854191676,0.017808941,0.003485133,0.098638179,0.003289027,9.790865235,9.485411998,-0.017995784,12.48993388,3.626339812,0.024633418,0.745159361,-0.127196788,0.173523331,0.032043466,0.034273393,0.054343782,0.024322422,0.006707155,0.380312137
321005903,0,0.013121423,0.030091091,0.059592271,0.060783889,0.052515737,0.120433269,0.238505545,0.243274743,0.495050442,0,0.105086359,0.66187326,0.87818358,0.383133138,0.504949558,1.019996176,0.495050442,0.75875527,0.212274042,1.336981454,1.773927474,0.212274042,0.045823614,0.242790674,0.09432357,3.464831931,2.611389756,0.167067782,4.541601374,2.293279606,0.255415672,2.13445258,0.931217042,0.251823896,0.072415901,0.016875916,0.016875916,0.00835443,0.003643005,0.069369783
321006842,0,-0.013794605,-0.023349264,-0.042918078,-0.051209314,0.05768714,0.097643412,0.179477501,0.21415031,0.455957369,0,0.152210832,0.684152732,0.734830318,0.278872949,0.544042631,1.193187498,0.455957369,0.512593928,0.333826893,1.500475217,1.611620666,0.333826893,0.089925243,0.280157131,0.029940013,2.474063694,2.303439847,0.164756459,3.111222056,1.692637435,0.287552678,1.388222002,0.5268394,0.399756011,0.087029859,0.00452822,0.00452822,0.002064675,0.001219798,0.021145055
321007169,0,-0.033082784,-0.039769188,-0.051474862,-0.174882163,0.067395492,0.081016883,0.104863414,0.356265954,0.227405629,0,0.038051123,0.709458389,0.935685267,0.708279637,0.772594371,3.397428521,0.227405629,0.916754851,0.167327094,3.119792553,4.114609079,0.167327094,0.031653577,0.191303148,0.18819129,1.694407071,1.284738953,0.589196384,1.555941068,1.20211131,0.133216203,3.275814981,2.479672524,0.349140279,0.111529716,0.105427927,0.105427927,0.023974904,0.019943997,0.295924789
321007290,0,0.02800128,0.068550046,0.162932628,0.118337929,0.014422167,0.035306966,0.083919078,0.060950406,0.579273672,0,0.086133591,0.415156925,0.904533958,0.325260286,0.420726328,0.72629976,0.579273672,0.773092303,0.148692398,0.7166853,1.561496754,0.148692398,0.035183795,0.131178038,0.199900423,5.896816115,2.706481081,0.132862117,5.818756467,2.448104044,0.172519321,1.811715746,0.651472703,0.234145794,0.030204606,0.072395504,0.072395504,0.04193681,0.017130322,1.187777227
321007301,0,0.027284593,0.089542551,0.26088441,0.136337121,0.009591838,0.031478484,0.091713331,0.04792901,0.656773084,0,0.186091701,0.873740218,0.967173383,0.3104003,0.343226916,0.522595894,0.656773084,0.904358851,0.283342459,1.330353267,1.472614222,0.283342459,0.056704173,0.19916919,0.028470106,3.756035258,3.393185876,0.09458236,9.561601689,3.281799064,0.352064424,1.829782517,0.587242217,0.212643538,0.051581616,0.108621843,0.108621843,0.071339903,0.021738047,2.266306841
321007914,0,0.055299217,0.090708319,0.3934184,0.11788944,0.004417807,0.00724661,0.031429861,0.009418087,0.769435493,0,0.166126553,0.545577905,0.958914192,0.1894787,0.230564507,0.299654109,0.769435493,0.821803416,0.215907057,0.709062566,1.24625677,0.215907057,0.10127702,0.165424358,0.251985409,3.006570329,1.710599711,0.11551337,7.114357543,1.640318341,0.635241342,3.666734349,0.724536211,0.129522602,-0.029908173,0,0,0,0,0
321008398,0,-0.006695407,-0.013824213,-0.049002753,-0.019256754,0.017612927,0.036365951,0.12890656,0.050656785,0.216712495,0.50117656,0.019823161,0.530870965,0.66113426,0.444421765,0.282110946,0.392972903,0.717889054,1.575343929,0.091472166,2.44965555,3.050743618,0.027613126,0.009600846,0.247513054,0.063089726,3.889326876,3.123012734,0.21524442,7.318860702,2.064730713,0.027613463,0.920953331,0.61907502,0.419779861,0.072092725,0.123688393,0.409734307,0.088794544,0.043005387,2.441694508
321010096,1,-0.0222951,-0.036157708,0.023137194,-0.014108935,-0.25048865,-0.406237042,0.259949695,-0.158515907,2.562752523,0,0.005956032,0.071122839,0.095776289,-2.466976234,-1.562752523,-0.609794551,2.562752523,1.578609663,0.002324076,0.027752519,0.03737243,0.002324076,0.003672532,0.040182316,0.015201493,22.8024959,16.93298268,-1.521155094,-1.037770356,1.621778242,0.010814712,0.17390655,-4.479431512,0.132540788,-0.207045852,0.006743565,0.006743565,0.017282089,0.010656259,-0.042541884
321010599,0,0.001979983,0.010432759,0.020128659,0.021658376,0.019345453,0.101933404,0.196667317,0.211613437,0.481696271,0,0.042126111,0.293591451,0.583451706,0.101755435,0.518303729,1.075996973,0.481696271,0.19632395,0.087453679,0.609494964,1.211243976,0.087453679,0.007994913,0.044441997,0.055011191,17.94709727,9.030934835,0.019311677,10.16607452,5.269114337,0.091038847,1.260898986,0.219903934,0.110288809,0.022470111,0.019918367,0.019918367,0.009594603,0.001820914,0.094126194
321010632,0,-0.001121937,-0.001995624,-0.005702944,-0.003069855,0.023819986,0.042369344,0.12107991,0.065176464,0.340492551,0.309578678,0.014582999,0.877405322,0.883373891,0.54288134,0.349928772,0.538292969,0.650071228,1.551405269,0.042829129,2.576870832,2.594400052,0.022432926,0.008198542,0.444950648,0.003355521,2.027262484,2.013565164,0.305207124,5.083122727,1.778730893,0.008923046,0.540518819,0.332178236,0.991379894,0.072574595,0.064010862,0.122210074,0.04161162,0.023393994,0.982116214
321010713,0,-0.056073755,-0.065717582,-0.11117945,-0.160715887,0.013464853,0.015780601,0.026697248,0.038592311,0.408905322,0,0.004923187,0.339052431,0.852363057,0.443457735,0.591094678,1.44555389,0.408905322,0.75023131,0.01203992,0.82917099,2.084499789,0.01203992,0.004200727,0.283878471,0.43798408,3.456647292,1.374982945,0.378381858,1.982735945,1.171984666,0.020144989,3.487749669,1.814566641,0.245570419,0.037045778,0.031305328,0.031305328,0.012800915,0.010922426,0.811180454
321012104,0,-0.042726419,-0.06092047,-0.088797042,-0.194053898,0.055631822,0.079321338,0.115617956,0.25266737,0.187005203,0.126930618,0.048852002,0.924984364,0.997168489,0.810163287,0.68606418,2.185364445,0.31393582,1.180885565,0.261233387,4.946302837,5.332303462,0.155611431,0.03426223,0.61447324,0.050626156,1.541460344,1.429875424,0.568205994,2.078270166,1.425826716,0.312140825,6.371427566,5.176554166,0.188978161,0.079212867,0.072778794,0.122177726,0.02284787,0.016024297,0.288041919
321012171,0,-0.001166335,-0.00259878,-0.003953486,-0.007584113,2.59049E-05,5.77201E-05,8.78088E-05,0.000168447,0.142636079,0.200025012,0.017663736,0.058293216,0.083885225,-0.058750854,0.657338909,1.918335426,0.342661091,-0.089376808,0.123837786,0.408684928,0.588106639,0.051548707,0.007927501,0.01739264,0.011485717,38.22330669,26.56200134,-0.026367437,3.389666159,2.228159456,0.029455847,0.139886054,-0.097972261,0.275251986,0.006120329,0.061972351,0.148878976,0.021235513,0.009530518,367.9047619
321012764,0,-0.008085624,-0.022076902,-0.06811739,-0.032663011,0.029959174,0.081800215,0.252391262,0.121024285,0.555993256,0.119905924,0.035548875,0.496053927,0.667473853,0.111480598,0.32410082,0.479510599,0.67589918,0.343968885,0.063937601,0.892194144,1.200507104,0.052594937,0.013019708,0.166323973,0.062782223,5.504219224,4.090631483,0.040829558,8.424506781,2.730389559,0.088447629,1.660713027,0.277370087,0.183971741,0.036769286,0.026201563,0.031852212,0.017709615,0.006486113,0.216498393
321013548,0,0.0229329,0.034708898,0.070675273,0.068204283,0.029393634,0.044487206,0.090586151,0.087419024,0.249060916,0.259835248,0.094483929,0.730871124,0.782666022,0.533605106,0.491103836,0.965037412,0.508896164,1.086542328,0.379360721,2.934507493,3.142468256,0.185664455,0.062427522,0.420474426,0.03422198,2.070813763,1.93377244,0.352564134,3.081828871,1.513497982,0.304387587,2.52142163,1.719051829,0.280603978,0.075511771,0.043379306,0.088635193,0.022075562,0.014585789,0.496222716
321013806,0,-0.014162477,-0.015737678,-0.042677654,-0.024931246,0.014856253,0.016508618,0.0447683,0.02615255,0.631243136,0,0.010580259,0.344216216,0.989989036,0.3587459,0.368756864,0.584175642,0.631243136,0.972852129,0.016760988,0.545298945,1.568316517,0.016760988,0.009521269,0.297510763,0.581136729,3.228271946,1.122460464,0.32283864,3.013431507,1.111223553,0.038743423,3.625200912,1.313677139,0.346800065,0.101048175,0.085838963,0.085838963,0.054185256,0.048761796,3.282240654
