,B47,B45,B46,B22,B24,B21,B31,B23,B67,B83,B42,B32,B48,B63,B43,B610,B612,B44,B52,B13,B68,B61,B85,B82,B611,FRACASO,CODIGO_EMPRESA
0,0.284533279,0.715466721,2.514527378,0.054787561,0.192552384,0.051357677,0.097446212,0.076575974,1.491032673,0.017284017,0.37907799,0.187087068,0.717980348,0.217531581,0.611137257,1.493571828,0.399750849,0.513691045,3.890125471,-0.019776071,1.066784257,0.114105677,0.315473373,0.177369817,1.255420881,0,321000370
1,0.554977159,0.445022841,0.801875956,0.036778105,0.066269583,0.014864952,0.554977159,0.082643184,5.559599731,2.87236e-05,0.304218816,0.0,0.673178522,0.222435347,0.854556978,1.714751038,0.102968592,0.299579818,0.54816457,-0.035168283,2.474148865,0.026239066,0.000780998,5.17564e-05,0.601135814,0,321000978
2,0.589368738,0.410631262,0.696730648,0.035834212,0.060801006,0.034650885,0.589368738,0.087266157,2.518439512,0.015171,0.423890459,0.0,0.915400773,0.523493165,0.965260913,1.896540726,0.374805845,0.375892175,0.719227933,0.041652707,1.034149996,0.035209673,0.42336636,0.025741101,0.738551421,0,321002540
3,0.584284064,0.415715936,0.711496278,0.032683967,0.055938488,0.011525258,0.500754214,0.078620915,6.821618362,0.00381461,0.797655596,0.08352985,0.793248251,0.01158894,0.830520153,1.169690495,0.275579267,0.329765939,1.592908404,-0.38381048,2.835855464,0.110183853,0.116711966,0.007617729,0.464436755,0,321002656
4,0.661144442,0.338855558,0.512528785,-0.87989377,-1.330864655,-0.471425971,0.661144442,-2.59666324,5.508103923,0.096686235,0.892480055,0.0,0.682696823,0.0,0.892480055,2.110822907,0.025350363,0.231335613,1.349901773,-0.107610199,1.866451627,0.003579675,-0.109883987,0.146240714,0.547136609,1,321003051
5,0.458973882,0.541026118,1.178773216,0.181415566,0.395263377,0.12797825,0.458973882,0.335317576,2.620113779,0.0,0.592745487,0.0,0.971398355,0.276378456,0.984525763,1.777964311,0.563800383,0.525551882,1.291457991,0.02352328,1.417549987,0.107265549,0.0,0.0,0.949099073,0,321003146
6,0.532546468,0.467453532,0.877770411,0.092866233,0.174381464,0.024580166,0.532546468,0.198664095,8.082292613,0.003591977,0.491776451,0.0,0.916402413,0.124175122,0.960922013,0.846130496,0.347220287,0.428375544,0.923443269,-0.058068153,3.778096228,0.006521375,0.038679045,0.006744909,0.377201903,0,321003314
7,0.650519959,0.349480041,0.53723185,0.016059234,0.024686765,0.037746525,0.312524598,0.04595179,1.217378032,0.009395135,0.169573472,0.337995361,-0.229091049,0.147816375,0.232461849,1.324956515,0.477843935,-0.080062749,0.5425924,-0.004177009,0.425449325,0.072748366,0.585030114,0.030062067,-0.456331489,0,321003519
8,0.624373951,0.375626049,0.601604294,0.004191192,0.006712631,0.002647272,0.210627035,0.011157884,4.214860872,0.049011679,0.555864223,0.413746916,1.799962668,0.208990188,0.886739901,2.209034648,0.314593975,0.676112866,2.63909248,0.036280019,1.583211539,0.058899706,11.69397173,0.232694151,1.68432338,0,321003703
9,0.472069972,0.527930028,1.118330036,0.112783506,0.238912689,0.056264664,0.256082801,0.213633437,3.796937894,0.021438957,0.744764189,0.215987171,1.203918146,0.07328604,0.891667342,2.684814183,0.246837317,0.635584541,2.908294455,0.04893822,2.00451753,0.098889909,0.190089467,0.083718846,1.913747774,0,321004185
